-1,RootNode
1,SK_CHR_Deidara
2,nxRagdoll1
3,Hips
4,HipsRigidBody1
5,transform1
6,Spine
7,Spine1
8,Neck
9,Head
10,Head1
11,FaceCenter
12,FaceHair
13,hair_P01
14,hair_P02
15,hair_P03
16,hair_PU01
17,hair_PL01
18,hair_PR01
19,hair_PD01
20,hair_F01
21,hair_F02
22,hair_FL01
23,hair_FL02
24,hair_FL03
25,hair_FLS01
26,hair_FLS02
27,FaceJaw
28,MouthDown
29,LipMouthDownCenter
30,LipMouthDownLeft1
31,LipMouthDownLeft2
32,LipMouthDownLeft3
33,Jaw
34,Tongue1
35,Tongue2
36,Tongue3
37,Tongue4
38,LipMouthDownRight1
39,LipMouthDownRight2
40,LipMouthDownRight3
41,MouthUp
42,LipMouthUpCenter
43,LipMouthUpLeft1
44,LipMouthUpLeft2
45,LipMouthUpLeft3
46,LipMouthUpLeft4
47,LipMouthUpRight1
48,LipMouthUpRight2
49,LipMouthUpRight3
50,LipMouthUpRight4
51,CheekLeft
52,CheekRight
53,Nose
54,eyedown_L
55,EyeDownLeft1
56,EyeDownLeft2
57,EyeDownLeft3
58,EyeDownLeft4
59,EyeDownLeft5
60,eyedown_R
61,EyeDownRight1
62,EyeDownRight2
63,EyeDownRight3
64,EyeDownRight4
65,EyeDownRight5
66,eyeup_R
67,EyeUpRight1
68,EyeUpRight2
69,EyeUpRight3
70,EyeUpRight4
71,EyeUpRight5
72,eyeup_L
73,EyeUpLeft1
74,EyeUpLeft2
75,EyeUpLeft3
76,EyeUpLeft4
77,EyeUpLeft5
78,BrowLeft2
79,BrowLeft3
80,BrowLeft4
81,BrowLeft5
82,BrowLeft6
83,BrowLeft1
84,BrowRight2
85,BrowRight3
86,BrowRight4
87,BrowRight5
88,BrowRight6
89,BrowRight1
90,hair_FLB01
91,Neck_L
92,Neck_B
93,Neck_R
94,LeftShoulder
95,LeftArm
96,LeftForeArm
97,LeftForeArmRigidBody1
98,transform7
99,LeftHand
100,LeftHandRigidBody1
101,transform8
